accession,type,species,description,last_update,factors
E-GEOD-54976,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-55014,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-55077,differential,Rattus norvegicus,Differential expression comparing phenotype,,phenotype
E-GEOD-55078,differential,Rattus norvegicus,Differential expression comparing treatment,,treatment
E-GEOD-54593,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-52046,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-52610,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-52013,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-50786,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-51236,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-58954,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-61675,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-61684,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-61685,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MTAB-2553,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, compound",,"growth condition, compound"
E-MTAB-3045,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-10644,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-35899,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-4308,differential,Triticum aestivum,Differential expression comparing infect,,infect
E-GEOD-80633,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-84609,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-5134,differential,Theobroma cacao,Differential expression comparing infect,,infect
E-MTAB-8050,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-3017,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-3487,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-37363,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-36082,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-36509,differential,Homo sapiens,"Differential expression comparing cell line, compound",,"cell line, compound"
E-GEOD-42937,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-66048,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-62673,differential,Homo sapiens,"Differential expression comparing cell line, growth condition",,"cell line, growth condition"
E-MTAB-3106,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-MTAB-3112,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-6527,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MTAB-5182,differential,Medicago truncatula,Differential expression comparing compound,,compound
E-GEOD-53858,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-9293,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-GEOD-59809,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-66088,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-63272,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-58805,differential,Triticum aestivum,Differential expression comparing environmental stress,,environmental stress
E-MTAB-1722,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-1744,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-5188,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-GEOD-30702,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-44250,differential,Oryza sativa Indica Group,Differential expression comparing growth condition,,growth condition
E-GEOD-38281,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-40518,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-41779,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-MEXP-1703,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-3501,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-47195,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-54243,differential,Oryza sativa,Differential expression comparing growth condition,,growth condition
E-GEOD-10248,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-60823,differential,Oryza sativa,Differential expression comparing treatment,,treatment
E-GEOD-17159,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, developmental stage",,"growth condition, developmental stage"
E-GEOD-18225,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-17499,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-17479,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-17845,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, organism part",,"growth condition, organism part"
E-GEOD-18603,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-18978,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-18980,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-19241,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-19273,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-19978,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-20233,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-20493,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-GEOD-23846,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-21920,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-22766,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-22966,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MTAB-2973,differential,Homo sapiens,"Differential expression comparing disease, treatment",,"disease, treatment"
E-GEOD-16972,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-49016,differential,Homo sapiens,Differential expression comparing stimulus,,stimulus
E-GEOD-66493,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-24052,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-24348,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, organism part",,"growth condition, organism part"
E-GEOD-2473,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-27508,differential,Arabidopsis thaliana,Differential expression comparing growth condition,,growth condition
E-GEOD-28223,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-28227,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-5699,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-5728,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-5751,differential,Arabidopsis thaliana,"Differential expression comparing compound, organism part",,"compound, organism part"
E-GEOD-6203,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-6826,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-GEOD-9957,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-9996,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-MEXP-1310,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-1400,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-1797,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-1934,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-MEXP-2251,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2760,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2912,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-MEXP-3293,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-739,differential,Arabidopsis thaliana,"Differential expression comparing growth condition, compound",,"growth condition, compound"
